ID,Title,Location,Salary,Summary
,[디엠씨코넷] 빅데이터 분석 기반 비즈니스개발자 양성 & 취업연계 과정 교육생,세종특별자치시 세종,,"분석 기반 비즈니스개발자 양성 &취업연계 과정○ 활동내용통계,DB, Python을 활용한 빅데이터 분석, 머신러닝,딥러닝,빅데이터 엔지니어링Real... 통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임..."
,(주)작당모의 앱 개발자,서울 서초구,,"1. 백엔드 개발 1년이상, OOP/Function Language 개발 가능, AWS 개발 경험 등 2. Python Django 개발, Nodejs React 개발, MySQL 개발 경험 등 3. React Native..."
,AI Software Engineer,경기도 성남,,"TensorFlow 5+ years of programming experience in Python, C/C++ and MATLAB Experience working with other developers using Git..."
,Deep Learning Library 개발자,성남 분당구,,AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>딥러닝|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python
,ML Modeler,서울 강남구,,통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>R|인터넷·IT·통신·모바일·게임>응용프로그래머...
,Software Engineer - Python and K8s,서울,,"we are building a new community around Python opscode for open source applications... who enjoy Python, have a passion..."
,Digital Human 을 위한 AI 연구자/엔지니어 모집,성남 판교역,,"10년 필수조건 - 전반적인 전산학에 대한 이해가 있으신 분 - 숙련된 프로그래밍 스킬을 통해 C/C++, Python 등 다양한 언어에 빠르게 적응할 수 있으신 분 - 확보된 기반 기술을 상용화 할 수 있는 개발 능력을..."
,이엔유주식회사 소프트웨어 개발자 신입 인재,대전 유성구,"연봉 28,000,000원 - 35,000,000원","웨어 프로그래밍 * 메타버스 클라이언트 모듈 개발개인별 능력에 따른 급여 협의 가능*신입 지원 시 JAVA, PYTHON, C++ 등 프로그래밍 언어의 능통함보다 프로그래밍적 사고력을 더 중요시 합니다. 자기소개서 필수입니다..."
,항공 및 로보틱스 엔지니어 (경력),서울 역삼역,,"navigation, control 등에 대한 기본적 이해 및 연구개발 경험 • C / C++ / Python / MATLAB 프로그램 개발 경험 우대 사항 (이런 분은 꼭 모시고 싶습니다) • IMU, INS, GPS..."
,Digital Design Engineer,서울,"연봉 35,000,000원 - 80,000,000원","ㆍAlgorithm development experience through matlab/C++/ Python, etc. ㆍDeep learning based RTL design experience ㆍPeople who..."
,국내 대기업 - AI 및 딥러닝 관련 경력자,서울,,"관련 전문 지식 있는 분 - Python 또는 Scala, JAVA 활용... 레임워크 활용 역량 좋은 분- 자연어처리 관련 전문 지식 있는 분- Python 또는 Scala, JAVA 활용 역량- 미디어/커머스/전자/IT 업계..."
,빅데이터 리더 정규직,안양 동안구,,모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>클라우드|인터넷·IT·통신·모바일·게임>웹프로그래머>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일...
,"[리얼클래스]백엔드 개발자 (Backend Developer, Python)",서울 강남구,,통신·모바일·게임>웹프로그래머>백엔드|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>NoSQL
,빅데이터 처리 시스템 개발,서울 마포구,,데이터|인터넷·IT·통신·모바일·게임>응용프로그래머>Linux|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>C·C++|인터넷·IT·통신·모바일·게임>네트워크·서버·보안...
